,2014,2015,2016,2017,2018,2019,2020,2021,MAD
312112,737.2,607.3,270.1,368.2,148.2,255.1,87.8,11.3,310.7
312113,679.1,408.4,714.8,369.8,747.2,632.3,504.2,422.9,559.8
31212,687.6,589.5,433.3,221.1,71.6,409.2,290.2,163.3,358.2
312120,687.6,589.5,433.3,221.1,71.6,409.2,290.2,163.3,358.2
31213,405.4,330.1,1048.9,490.2,555.6,523.4,719.8,812.2,610.7
312130,405.4,330.1,1048.9,490.2,555.6,523.4,719.8,812.2,610.7
31214,18.3,91.4,55.7,18.7,306.7,166.6,338.2,751.1,218.3
312140,18.3,91.4,55.7,18.7,306.7,166.6,338.2,751.1,218.3
3122,40.2,26.2,96.7,56.0,127.9,230.6,215.3,184.5,122.2
31223,40.2,26.2,96.7,56.0,127.9,230.6,215.3,184.5,122.2
